Story Title,Estimate,Vote Started,Voting Duration,Avg Voting Time,Fastest,Slowest,Actual Time
"As a user, I should be able to see the map of the state on the state detail page so that I can immediately know where it is located from me.",3,18/10/2017 02:39:49,0:00:07,0:00:03,Rachel,Ryan Le,4
"As a user, I want to get to related parks from campgrounds",3,18/10/2017 02:39:36,0:00:11,0:00:05,Rachel,Ryan Le,3
"As a user, I want to be able to click a specific park and see its lists of associated visitor centers and campgrounds, so that I can plan my visit.",3,18/10/2017 02:39:23,0:00:11,0:00:04,Rachel,Ryan Le,3
"As a user, I want to get to related states from a campground",3,18/10/2017 02:39:11,0:00:09,0:00:06,Rachel,Ryan Le,3
"As a developer, I want to read a technical report of the website so I can learn how the site was built.",5,18/10/2017 02:39:01,0:00:08,0:00:04,Rachel,Ryan Le,5
"As a user, we should be able to see embedded social media feeds.",2,18/10/2017 02:38:53,0:00:06,0:00:03,Rachel,Ryan Le,2
"As a user, I want to be able to navigate between visitor centers and their corresponding parks/states, so that I can see which visitor center is associated with which park and states.",3,18/10/2017 02:38:42,0:00:08,0:00:06,Rachel,Ryan Le,2
"As a user, I should be able to see all the states when I click on States so that I can quickly see my available options when planning my trip",5,18/10/2017 02:38:32,0:00:08,0:00:04,Rachel,Ryan Le,3
"As a user, I want to see pages of campgrounds rather than all of them on one page so that everything doesn't bog down trying to load at once",5,18/10/2017 02:38:21,0:00:08,0:00:06,Rachel,Ryan Le,2
"As a user, I want to look at a specific visitor center and see relevant content, so that I can plan my visit.",2,18/10/2017 02:38:10,0:00:08,0:00:04,Rachel,Ryan Le,2
"As a user, I want to be able to click on About so that I can learn more about the website, how it is used, and get background on the creators of the site.",Œ_,18/10/2017 02:37:53,0:00:14,0:00:06,Rachel,Ryan Le,1
"As a user, I should be able to see multiple campgrounds when I click on Campgrounds so that I can quickly look through my options.",2,18/10/2017 02:37:34,0:00:17,0:00:10,Rachel,Ryan Le,2
"As a user, I want to be able to click a visitor center and see a map of where that visitor center is located, so I can plan navigation.",5,18/10/2017 02:37:18,0:00:13,0:00:08,Rachel,Ryan Le,2
"As a user, I want to click on Visitor Centers and see a list of park visitor centers so I can plan out my visit.",2,18/10/2017 02:37:04,0:00:12,0:00:05,Rachel,Ryan Le,2
"As a user, I want to be able to click on a specific state from the states list so that I can get to the detail page of the state and get more information on it.",3,18/10/2017 02:36:47,0:00:14,0:00:10,Rachel,Ryan Le,2
"As a user of the SWEtravels API, I want to query for campgrounds and get back results",5,18/10/2017 02:36:36,0:00:09,0:00:06,Rachel,Ryan Le,5
"As a user, I want to be able to navigate to all the pages from the home page because I do not want to use a broken website.",20,18/10/2017 02:36:23,0:00:10,0:00:05,Rachel,Ryan Le,3
"As a user, I want to be able to click on States so that I can view all the list of possible states with parks that I could visit.",2,18/10/2017 02:36:09,0:00:12,0:00:08,Rachel,Ryan Le,2
"As a user, I should be able to see an image of the campground.",Œ_,18/10/2017 02:35:58,0:00:07,0:00:04,Rachel,Ryan Le,1
"As a user, I should be able to click on a specific campground to view more information on that campground",2,18/10/2017 02:35:46,0:00:09,0:00:05,Rachel,Ryan Le,1
"As a user, I want to see a carousel on the homepage so I can navigate.",1,18/10/2017 02:35:33,0:00:08,0:00:05,Rachel,Ryan Le,2
"As a user, I should be able to click on Campgrounds to view a list of campgrounds",2,18/10/2017 02:34:59,0:00:30,0:00:22,Rachel,Ryan Le,3
"As a user, I should be able to filter states by whether or not they contain a national park, so I can see which states I might want to visit.",5,8/11/17 0:00,0:00:04,0:00:15,Linh,Rachel,3
"As a user, I should be able to filter campgrounds by parks so I can find out which campgrounds are in which park.",1,8/11/17 0:00,0:00:02,0:00:08,Linh,Derek,2
"As a developer, I should be able to read about search implementation on the technical doc so that I can emulate the code for my own project.",3,8/11/17 0:00,0:00:00,0:00:03,Linh,Derek,1
"As a user, I should be able to sort visitor centers by alphabetical order so I can more easily browse the list of visitor centers.",3,8/11/17 0:00,0:00:03,0:00:01,Linh,Derek,3
"As a user, I should be able to filter visitor centers by park, so I can see which visitor centers are located in which park.",3,8/11/17 0:00,0:00:03,0:00:02,Linh,Derek,2
"As a user, I should be able to search for a keyword and find all related entries to that keyword.",8,8/11/17 0:00,0:00:04,0:00:10,Katherine,Derek,8
"As a user, I should be able to sort campgrounds by alphabetical order, so I can more easily find a specific campground.",1,8/11/17 0:00,0:00:03,0:00:05,Katherine,Ryan Le,4
"As a user, I should be able to filter campgrounds by state, so that I can find out which campgrounds are located where.",3,8/11/17 0:00,0:00:04,0:00:04,Katherine,Derek,3
,,,,,,,
